date,borrow_rate,supply_rate,tvl_usd,borrow_usd,symbol,utilization
2024-03-15,8.943140993952047,5.316787735468933,2543682.312886,1592367.405805,USDC,62.60087581449346
2024-03-22,9.957064006038278,6.621026447264957,2350440.75358,1748140.152986,USDC,74.37499329959181
2024-03-29,11.82518513187443,9.305693511961243,2354017.637836,2005674.659012,USDC,85.20219333852467
2024-04-05,10.32912702486818,8.152759888376936,2378786.099693,1944521.519692,USDC,81.74427788790909
2024-04-12,9.951691938903837,7.582085801062882,2373625.806035,1704191.912033,USDC,71.7969912401547
2024-04-19,9.512680402553675,6.9215513998177745,2340778.737787,1823439.669112,USDC,77.89884792083772
2024-04-26,9.254195608795424,7.025108008964444,2265225.143389,1765915.500092,USDC,77.95761517329869
2024-05-03,7.703844729387959,5.87065564775701,2267416.018708,1898942.980157,USDC,83.74920898896356
2024-05-10,8.056915080006913,6.417228390614482,2334949.119905,1931264.477356,USDC,82.71120175135019
2024-05-17,8.18264557557144,6.6303566927038196,2394188.540295,1868726.847966,USDC,78.05261851832874
2024-05-24,7.607928941704729,6.38196216025935,2395418.8966,2072863.599896,USDC,86.53449310424047
2024-05-31,6.863156559823591,5.8291332406876455,2567020.17349,2285839.518061,USDC,89.04641816481247
2024-06-07,7.353329755548218,6.213749428310853,2565638.537297,2321564.704631,USDC,90.48681920239858
2024-06-14,8.000857499358514,6.6533147796442105,2567838.488311,2167557.959866,USDC,84.41177160218183
2024-06-21,7.886141313579582,6.457996417722385,2572925.914182,2180336.268772,USDC,84.74150991888104
2024-06-28,7.537973733887105,5.899543688009284,2560057.026076,2098089.439643,USDC,81.95479312657756
2024-07-05,7.60265803425683,6.001955119188853,2562748.755899,2230615.089219,USDC,87.03994428187757
2024-07-12,7.772802536095759,6.272352142691446,2603267.852515,2159742.78722,USDC,82.96275717973035
2024-07-19,7.1708056134619955,5.68424946208163,2607348.877925,2198492.528459,USDC,84.31907778327773
2024-07-26,7.319828799498479,6.07154441440496,2347747.063372,2054067.039482,USDC,87.49098535903624
2024-08-02,12.908056049929657,11.809713318869939,1818988.947401,1747452.142603,USDC,96.06722157931674
2024-08-09,7.386802557486106,6.343948732550035,1878142.421076,1698070.485415,USDC,90.41223212679283
2024-08-16,6.69250331460527,5.395091891837523,1885222.193827,1607279.877294,USDC,85.25678737269811
2024-08-23,6.015064928867536,4.785835400685365,2218773.194087,1815705.919924,USDC,81.83377754710716
2024-08-30,6.194886564636647,5.080747992155131,2194143.344893,2016114.887046,USDC,91.88619748744439
2024-09-06,10.105796682739813,9.048797203760646,2477264.092214,2022541.343259,USDC,81.64415532505453
2024-09-13,5.903890189083117,4.612450043406677,2710775.914135,2065441.241826,USDC,76.193728557791
2024-09-20,5.780105144929436,4.421389169303162,2571875.564165,2224640.821525,USDC,86.49877360016308
2024-09-27,6.026485763374934,4.804150866940607,2378718.063624,2058604.133999,USDC,86.54258634008507
2024-10-04,6.25297407184376,5.170834623244807,2441295.85345,2122091.547211,USDC,86.92480037649246
2024-10-11,6.357362722632553,5.488228261745495,2222337.042057,2087141.845388,USDC,93.91653047622951
2024-10-18,11.512574912747171,10.616817984181155,1909707.780554,1848139.527611,USDC,96.776038011159
2024-10-25,7.297838110955546,6.430069540147763,2067494.351218,1839826.61663,USDC,88.98822942592919
2024-11-01,6.386883604018956,5.552988756295163,1949438.606028,1870755.646224,USDC,95.96381442530692
2024-11-08,7.937249637637227,7.126561187826943,2018393.024417,1943771.667017,USDC,96.30293225861926
2024-11-15,11.094960872843872,10.210152239674134,1896876.971262,1738373.804747,USDC,91.64399331552076
2024-11-22,7.7019006357059965,6.209935594248641,1626178.130195,1435905.800017,USDC,88.29941648795977
2024-11-29,11.201187571935607,10.051745781740975,1367549.567111,1342406.923982,USDC,98.16148213317673
2024-12-06,12.361497780615696,11.32377858774419,1355778.56769,1308584.572447,USDC,96.51904843698703
2024-12-13,14.206618956225824,12.432646620562664,1920319.19672,1848273.146509,USDC,96.24822527764874
2024-12-20,11.460352492200883,9.587486936659056,1410491.939868,1337141.508703,USDC,94.79965612764406
2024-12-27,19.123969348664826,17.735828380172016,1319362.134181,1253976.476713,USDC,95.04414627538266
2025-01-03,18.968740872120637,17.468296768723647,1288910.504897,1194989.77883,USDC,92.71316932322578
2025-01-10,14.496132370506132,13.11410605277681,1215654.167301,1145638.15292,USDC,94.24046605816768
2025-01-17,10.863552991305637,9.030101260241432,1313443.60282,1145439.655117,USDC,87.20889520172082
2025-01-24,13.098152338514558,11.328207292632632,1409250.819459,1196989.10139,USDC,84.93797447990944
2025-01-31,10.352160536974042,8.212982735246012,1231208.697108,1045809.902173,USDC,84.941724715681
2025-02-07,9.733496124222398,7.278296096860573,1407983.767563,1121310.374327,USDC,79.63943904465695
2025-02-14,9.762620509933353,8.341908005766092,1581226.531728,1277700.388334,USDC,80.80438587997257
2025-02-21,7.31188945125765,5.754509249339848,1523938.657752,1283678.499242,USDC,84.23426315174564
2025-02-28,6.147321852537625,4.974895806340484,1443590.442818,1264055.218127,USDC,87.56328530822542
2025-03-07,6.520248271308288,5.549849776946023,1327953.800469,1188917.865581,USDC,89.53006235315597
2025-03-14,4.501562707527226,3.186408037486099,25955682.55662,12343512.041812,USDC,47.55610650918439
2025-03-21,3.7274235193733594,2.0496367049234343,25814518.713064,17724100.61949,USDC,68.65942695464756
2025-03-28,4.007748072580789,3.0667092776966878,50747268.402852,27023721.721032,USDC,53.25157899437454
2025-04-04,2.778111111390703,1.60767329937643,50739391.205598,37159338.467472,USDC,73.23568057192668
2025-04-11,3.8653937936686615,3.080486592884738,50751436.2424,44034554.225902,USDC,86.76513905061385
2025-04-18,3.4480900144919877,2.574714760859488,100751615.861636,56840016.182435,USDC,56.41598469298439
2025-04-25,2.667639055659383,1.459682980593421,100809882.339735,59671275.075509,USDC,59.191890408534974
2025-05-02,2.7745517048459756,1.5590382378591754,199811544.083818,80131938.986372,USDC,40.10375844588731
2025-05-09,4.186921371111841,3.135804361169847,60204421.371218,54367812.993754,USDC,90.30534926749696
2025-05-16,5.126198297116184,4.390474395240017,58676978.640716,53152404.37537,USDC,90.58476698472595
2025-05-23,5.216834935929123,4.548142717175561,54511609.735045,50775968.86324,USDC,93.14707290802423
2025-05-30,5.285846412724228,4.668206484526867,33175965.352186,30780889.601402,USDC,92.78069010092517
2025-06-06,3.007529770257975,1.9429255223639736,26708654.045646,15914421.944804,USDC,59.58526370368836
2025-06-13,3.868234282174817,2.547885691192996,24507793.207272,19778938.171715,USDC,80.7046885226947
2025-06-20,4.924042965879515,3.8714566858243202,13627703.92197,12415226.671898,USDC,91.1028500691353
2025-06-27,5.291342838650747,4.431927237700765,8217440.925184,7559424.478368,USDC,91.99244079991648
2025-07-04,5.779391111506314,4.891913251874452,8619911.891809,8031269.228498,USDC,93.17112900109393
2025-07-11,5.275893335567653,4.4058573330567725,7656717.271314,7142689.835598,USDC,93.28658199719858
2025-07-18,7.6671856251657236,6.629193234081833,7664080.7868,7697936.825282,USDC,100.0
2025-07-25,9.947549405875597,8.699947534006538,7596984.822743,7353911.140203,USDC,96.80039267931254
2025-08-01,11.283061880806148,9.923631075025712,7650000.783796,7625837.471311,USDC,99.68413973844052
2025-08-08,9.131951041962182,7.949697782306593,7809408.555267,7479852.578473,USDC,95.78001362764235
2025-08-15,7.3411235759248,6.077354421896804,11899626.361427,7809293.529792,USDC,65.62637592644137
2025-08-22,5.9123018957581746,4.86946572080467,9679670.217776,8715391.920606,USDC,90.038107957447
2025-08-29,5.780464449891271,4.7935546853461,9002660.422304,8271013.571691,USDC,91.87299291218012
2025-09-05,5.801886380000127,4.886057018327179,8804874.085963,8208348.908296,USDC,93.22505725984205
2025-09-12,5.890603827323234,4.959219885924937,8852697.345522,8254125.758902,USDC,93.23854003748612
2025-09-19,5.782454000438421,4.853202121513582,8829890.710852,8235409.774309,USDC,93.26740323283526
2025-09-26,5.748829936598062,4.797202863601476,8831209.33646,8235994.05125,USDC,93.260093125042
2025-10-03,5.785223482179349,4.858083679226191,8689630.029543,8020175.825094,USDC,92.29594122910885
2025-10-10,4.42520672927954,3.256803366714828,50000001.126861,34835483.682387,USDC,69.67096579458412
2025-10-17,4.5785335215054115,3.355768871193362,50000269.446306,36670222.514184,USDC,73.34004980425797
2025-10-24,3.9223129043391722,2.5193434759518794,50000000.485954,32256173.845987,USDC,64.51234706497333
2025-10-31,4.443645821705067,3.2783367861874995,51530644.622691,46774172.376614,USDC,90.76962401517768
2025-11-07,4.80276800043309,3.917609990374863,51724251.15786,46790751.210963,USDC,90.46192098201637
2025-11-14,4.647141022519576,3.665133301562778,50000563.4791,38742777.46444,USDC,77.48468170890574
2025-11-21,4.692297594948935,3.6778491485915694,50000541.267099,41810395.850012,USDC,83.61988648615645
2025-11-28,4.697940708866348,3.6822837163323463,50000421.92228,36834415.327325,USDC,73.66820900947583
2025-12-05,4.6892222223105,3.754146793240751,50000004.621729,39421406.06199,USDC,78.84280483617844
2025-12-12,4.6196727820117145,3.7203486648109387,50000004.157013,44018831.288013,USDC,88.03765525655245
2025-12-19,4.724805020879501,3.98062439269195,50000002.620737,41809719.106037,USDC,83.61943382918311
2025-12-26,4.46763423048962,3.630273334652917,50001160.031187,40544561.598687,USDC,81.08724192278403
2026-01-02,4.692708869824891,4.013899332334139,57387667.419223,51721739.096376,USDC,90.12692347040908
2026-01-09,4.7251732767772765,4.065143605711877,50000001.339227,41510958.28142,USDC,83.02191433913622
2026-01-16,4.696481309041633,4.018011931494601,50000000.753668,42867356.441469,USDC,85.73471159062782
2026-01-23,4.5209565979316855,3.729638311930401,50000246.822457,35910582.609321,USDC,71.82081067886288
2026-01-30,4.551721145976606,3.8034286310092438,53769505.021574,48477939.960375,USDC,90.15879900870233
2026-02-06,4.312164157435927,3.4102012600349405,50000939.990405,34652520.257586,USDC,69.30373761820417
2026-02-13,4.3795710697156425,3.4966925973478413,50000048.143111,41853920.039341,USDC,83.70775947964289
2026-02-20,4.178795906212166,3.1933004319583267,50001531.272954,36464775.004369,USDC,72.92731657618837
2026-02-27,3.5785686607132625,2.3491975061913055,50000066.427543,30258106.675694,USDC,60.51613295262752
2026-03-06,4.134136789539374,3.161220299006207,19962966.262289,17989157.106708,USDC,90.11264593824608
2026-03-13,4.729084318863495,4.206592739925837,17847246.458966,16016213.528207,USDC,89.74052980683116
2024-03-22,10.442676124222995,7.590004145249871,140199.814064,121079.734334,USDT,86.36226455958646
2024-03-29,16.340591527265982,14.154076625030726,164602.389848,137194.317161,USDT,83.34892177913721
2024-04-05,24.197009192813134,22.580855134549562,151190.683736,148100.964285,USDT,97.95640883773295
2024-04-12,10.154394926098316,7.9005574071193365,210559.591676,158928.919109,USDT,75.47930628282798
2024-04-19,9.094004509369773,6.322425562860311,208714.843964,144920.953943,USDT,69.43490515125822
2024-04-26,9.42287917561262,7.066746564818331,209048.304177,166142.653459,USDT,79.47572409787547
2024-05-03,7.940894919155608,6.237759336556931,214187.446262,177184.026995,USDT,82.72381509150802
2024-05-10,8.516879067945917,7.177794367150563,196904.276303,177451.9773,USDT,90.1209362395632
2024-05-17,9.865502360512293,8.568157132579584,207516.952677,200283.373791,USDT,96.51422267304635
2024-05-24,7.0864801474969,6.213305953684802,214855.10658,201614.353482,USDT,93.83735704086239
2024-05-31,11.721536468621055,10.55728397325412,217680.552936,202804.459972,USDT,93.16609005106042
2024-06-07,18.56506834733064,17.44998937986188,203495.820882,201785.023995,USDT,99.15929630417716
2024-06-14,10.369229624624522,9.041189636754241,276483.915455,186632.473933,USDT,67.50210898375965
2024-06-21,9.501780780737892,7.808313330786168,226725.84193,226532.269539,USDT,99.91462270495846
2024-06-28,11.338851308519594,9.725166748326627,290465.878288,218571.344791,USDT,75.24854419364335
2024-07-05,7.922150854690081,6.515430089153047,255389.83543,225819.387903,USDT,88.4214469705843
2024-07-12,8.049498128709894,6.724631987214953,248510.041855,220136.219072,USDT,88.58242404564261
2024-07-19,7.80868547699714,6.686404496316009,247828.375136,226239.569655,USDT,91.28880804340795
2024-07-26,7.025040945732448,5.7696492509125585,254641.328182,209260.546529,USDT,82.17854816537678
2024-08-02,6.966810597911082,5.646131310679948,278752.413829,243050.132214,USDT,87.19211750506976
2024-08-09,7.174480569281421,5.9962361744478185,246026.068877,229329.612418,USDT,93.2135417457134
2024-08-16,6.449248266603618,4.942518541057239,297863.955447,229243.724142,USDT,76.96255956783268
2024-08-23,6.0894649093887585,4.934831518819065,275773.905246,256581.472936,USDT,93.0405190828771
2024-08-30,5.668249028188709,4.696665144741495,837165.823187,232626.246335,USDT,27.78735584897828
2024-09-06,8.319790619466096,7.272592571676297,510278.656875,430475.846337,USDT,84.36093505718605
2024-09-13,8.302533251356417,7.107896225009576,480457.999038,406702.572227,USDT,84.64893352620265
2024-09-20,5.679952319422352,4.332630462240291,439937.478288,415611.18045,USDT,94.47051023416671
2024-09-27,6.077678819504396,4.888024786865682,529451.743982,416663.926816,USDT,78.69724324303397
2024-10-04,6.1385619862572085,4.986099219938823,486296.929275,414306.822758,USDT,85.19626545363404
2024-10-11,5.912912659594284,4.8640246437947665,470406.029077,417007.199514,USDT,88.64835349415574
2024-10-18,5.833846736170912,4.834377143000778,489857.887443,426521.424373,USDT,87.07044130684334
2024-10-25,8.324271203688921,7.395062985960678,442336.42309,427448.908353,USDT,96.63434572423377
2024-11-01,9.81885569581991,8.872468213971201,475695.691565,454874.596629,USDT,95.62302217463852
2024-11-08,15.813501585637837,14.804794289722253,472604.756031,461552.628847,USDT,97.66144393534731
2024-11-15,13.158336467416715,12.205648339705599,517350.848229,456741.047551,USDT,88.28458465169624
2024-11-22,13.920485832642854,12.911649715751642,446804.069824,420218.213506,USDT,94.0497730183003
