date,btc_price
2024-05-18 17:15:14,66930.01128009237
2024-05-25 17:15:29,68985.93306626365
2024-06-01 17:17:03,67571.0
2024-06-08 17:15:27,69428.5584985277
2024-06-15 17:16:33,66195.0
2024-06-22 17:15:53,64257.35251845377
2024-06-29 17:15:16,60848.89806876453
2024-07-06 17:16:30,57751.31897382534
2024-07-13 17:16:24,58651.96217360001
2024-07-20 17:15:43,67016.90977880458
2024-07-27 17:16:48,68643.6149673801
2024-08-03 17:16:53,60763.091787282116
2024-08-10 17:15:36,60695.426950652996
2024-08-17 17:15:04,59532.0
2024-08-24 17:15:45,64250.14964502494
2024-08-31 17:15:45,58878.187529127164
2024-09-07 17:14:54,54403.0
2024-09-14 17:15:24,59908.47447881365
2024-09-21 17:15:02,63301.0
2024-09-28 17:15:33,65609.98606288656
2024-10-05 17:15:37,61953.56981305731
2024-10-12 17:15:39,63139.04072298832
2024-10-19 17:14:59,68081.0
2024-10-26 17:15:33,66915.79257457827
2024-11-02 17:14:57,69532.0
2024-11-09 17:15:27,75891.56486674737
2024-11-16 17:15:30,90812.91700927289
2024-11-23 17:15:32,97657.010873773
2024-11-30 17:15:01,96881.0
2024-12-07 17:14:58,99626.0
2024-12-14 17:15:19,101660.57197466143
2024-12-21 17:15:30,97166.64929700618
2024-12-28 17:15:09,94802.0
2025-01-04 17:15:36,97754.18870418378
2025-01-11 17:15:04,94018.0
2025-01-18 17:15:21,103767.33741931825
2025-01-25 17:15:25,104552.74056848479
2025-02-01 17:15:05,102129.0
2025-02-08 17:15:26,96307.74923482332
2025-02-15 17:14:59,97585.0
2025-02-22 17:15:02,96610.0
2025-03-01 17:15:05,84997.0
2025-03-08 17:14:58,85832.0
2025-03-15 17:15:00,84394.0
2025-03-22 17:14:59,84135.0
2025-03-29 17:14:59,81963.0
2025-04-05 17:15:01,82717.0
2025-04-12 17:15:05,84527.0
2025-04-19 17:15:00,84901.0
2025-04-26 17:14:54,94310.0
2025-05-03 17:15:07,96088.0
2025-05-10 17:15:25,103471.50957375694
2025-05-17 17:15:03,103031.0
2025-05-24 17:15:03,109086.0
2025-05-31 17:14:58,104529.0
2025-06-07 17:15:40,105483.16233041223
2025-06-14 17:15:35,104628.75458726745
2025-06-21 17:15:02,103537.0
2025-06-28 17:15:13,107380.8453069296
2025-07-05 17:15:08,108044.0
2025-07-12 17:15:04,117298.0
2025-07-19 17:15:34,117977.43085798093
2025-07-26 17:15:03,118064.0
2025-08-02 17:15:00,113310.0
2025-08-09 17:15:02,116758.0
2025-08-16 17:15:00,117762.0
2025-08-23 17:15:02,115059.0
2025-08-30 17:15:01,108872.0
2025-09-06 17:15:24,110208.0
2025-09-13 17:15:02,115332.0
2025-09-20 17:15:01,115992.0
2025-09-27 17:15:00,109381.0
2025-10-04 17:15:01,121837.53883555769
2025-10-11 17:15:02,112148.17770309254
2025-10-18 17:15:00,106723.93371623864
2025-10-25 17:15:21,111440.19424944252
2025-11-01 17:15:32,110307.97148278165
2025-11-08 17:15:33,101630.64817551473
2025-11-15 17:15:02,95873.40714413841
2025-11-22 17:15:00,84445.97702849726
2025-11-29 17:15:24,90745.47959384722
2025-12-06 17:15:32,89702.45906508344
2025-12-13 17:15:13,90029.33314214511
2025-12-20 17:15:13,88119.71509298171
2025-12-27 17:15:33,87451.88078463128
2026-01-03 17:15:12,90015.60901412797
2026-01-10 17:15:44,90596.088259008
2026-01-17 17:15:00,95322.25830492009
2026-01-24 17:15:00,89221.30634154698
2026-01-31 17:14:54,79107.48251225227
2026-02-07 17:14:59,68700.11082386928
2026-02-14 17:15:00,69774.31236477013
2026-02-21 17:15:31,68268.20324787422
2026-02-28 17:14:54,65005.87674457727
2026-03-07 17:15:00,67830.76002031573
2026-03-14 17:15:02,70682.03899970268
2026-03-21 17:15:03,70260.88113684174
2026-03-28 17:15:00,66863.7107968842
2026-04-04 17:15:00,67356.30983081869
2026-04-11 17:15:06,73038.31247316509
2026-04-18 17:15:02,75881.63832317041
2026-04-25 17:15:06,77368.5389184366
2026-05-02 17:15:08,78408.31993482006
2026-05-09 17:15:08,80750.0048814432
2026-05-16 17:15:01,78217.51104617144
