date,symbol,borrow_apy,utilization,protocol
2024-05-24,USDC,9.1462276715184,31.801115612662674,morpho
2024-05-31,USDC,7.545118808174402,28.851669584326807,morpho
2024-06-07,USDC,9.429216689692801,32.15678095415756,morpho
2024-06-14,USDC,8.8630975738944,31.036146018569223,morpho
2024-06-21,USDC,8.62505255916,31.84753304553425,morpho
2024-06-28,USDC,7.4583277878672,30.842969664748725,morpho
2024-07-05,USDC,7.5923269198128,33.24442009570388,morpho
2024-07-12,USDC,6.6351929936255996,31.64580422609654,morpho
2024-07-19,USDC,6.403894311384,31.100535697334923,morpho
2024-07-26,USDC,5.972285204424,31.300077771376333,morpho
2024-08-02,USDC,5.9763024871632,34.24130527548105,morpho
2024-08-09,USDC,4.8476791263312,30.87178865914716,morpho
2024-08-16,USDC,4.4586387943632,31.350971710225263,morpho
2024-08-23,USDC,4.737729707496,31.869963453484612,morpho
2024-08-30,USDC,4.573127429352001,32.973594873128995,morpho
2024-09-06,USDC,4.6730834808336,33.16910847012757,morpho
2024-09-13,USDC,4.5744282420480005,33.570657729258116,morpho
2024-09-20,USDC,8.252262399293004,33.697548377735615,morpho
2024-09-27,USDC,5.633356432023144,32.88812450006776,morpho
2024-10-04,USDC,4.800676202928066,33.99711535867086,morpho
2024-10-11,USDC,4.75115679536791,39.125264968738456,morpho
2024-10-18,USDC,4.949577358046589,37.92389602923024,morpho
2024-10-25,USDC,6.7958525920657475,42.15799809916058,morpho
2024-11-01,USDC,5.985137661058809,40.00259718743736,morpho
2024-11-08,USDC,9.592378751040272,38.4143617627675,morpho
2024-11-15,USDC,6.766321751290444,36.69177418264689,morpho
2024-11-22,USDC,8.70293864194768,36.62232564964029,morpho
2024-11-29,USDC,8.732544016407868,35.95680028544381,morpho
2024-12-06,USDC,10.114881947948794,37.162671159245484,morpho
2024-12-13,USDC,10.760868398588155,37.58686274071915,morpho
2024-12-20,USDC,8.481984120716042,35.51340055416119,morpho
2024-12-27,USDC,6.010411868111947,33.620311558627094,morpho
2025-01-03,USDC,6.844564114427976,39.38536077144592,morpho
2025-01-10,USDC,7.6079574076064675,34.683496871967385,morpho
