holders_count,daily_active_addresses_avg,bridge_volume_30d_usd,bridge_volume_30d_btc,dune_token_address
22755,240,59258250.57698387,830.076881410001,0x8236a87084f8b84306f72007f36f2618a5634494
24650,633,189435197.87066245,2061.306689499998,0x18084fba666a33d37592fa2633fd49a74dd93a88
76649,1460,1016259541.650794,14260.627827289998,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf
170055,5201,,,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599
