date,symbol,borrow_apy,utilization
2022-08-13,USDC,1.4999999976144,0.0
2022-08-26,USDC,1.4999999976144,0.0
2022-09-01,USDC,4.0083379249248,71.66679795244717
2022-09-08,USDC,4.283128396727999,79.51795431287624
2022-09-15,USDC,3.9393554068079997,69.69586890287945
2022-09-22,USDC,4.118362172380801,74.8103479265859
2022-09-29,USDC,3.6124494433344,60.35569854338577
2022-10-06,USDC,3.6738404042400004,62.10972598114806
2022-10-13,USDC,3.6349580961936003,60.998802886636824
2022-10-20,USDC,3.3905673760032,54.01621085033968
2022-10-27,USDC,3.2925886979472,51.216820114239866
2022-11-03,USDC,3.4043074819056005,54.4087853234147
2022-11-10,USDC,2.8855964632896,39.588470536894775
2022-11-17,USDC,3.2982980605344,51.379944747024496
2022-11-24,USDC,3.4043318371584004,54.409481215774036
2022-12-01,USDC,3.5109017825472004,57.4543368062908
2022-12-08,USDC,3.193810717896,48.394592115084876
2022-12-15,USDC,3.102931282248,45.7980367430343
2022-12-22,USDC,3.1643211488544,47.552032916809175
2022-12-29,USDC,3.1776221538,47.93206170722083
2023-01-05,USDC,3.234591732816,49.55976392641989
2023-01-12,USDC,3.459652433424,55.99006962734544
2023-01-19,USDC,3.5348063985216,58.137325764081105
2023-01-26,USDC,4.00936712436,71.69620369594121
2023-02-02,USDC,4.0989009914208,74.25431416321926
2023-02-09,USDC,4.0226604471359995,72.07601295224934
2023-02-16,USDC,3.8996581549104,68.56166168709174
2023-02-23,USDC,3.4932036942,56.94867707828736
2023-03-02,USDC,3.4902732681648,56.864950631580726
2023-03-09,USDC,3.6641257835904004,61.832165378073014
2023-03-16,USDC,3.6499197395952,61.4262784312927
2023-03-23,USDC,3.7736178894288,64.9605112452419
2023-03-30,USDC,3.8492071963920003,67.12020577694814
2023-04-06,USDC,3.7856885488704,65.30538723938298
2023-04-13,USDC,3.7982845633824,65.66527339647078
2023-04-20,USDC,4.246961887008,78.48462544941366
2023-04-27,USDC,5.1704190391392,83.48167618586187
2023-05-04,USDC,4.4034045026688,80.41361802869737
2023-05-11,USDC,4.953841721208,82.61536691240633
2023-05-18,USDC,4.0193232256224,71.98066375909015
2023-05-25,USDC,4.2862140398016,79.60611554566295
2023-06-01,USDC,3.651949579464,79.63812559800081
2023-06-08,USDC,3.9969999949824,95.5913345270528
2023-06-15,USDC,3.8292885542160002,84.96362038841008
2023-06-22,USDC,3.9969999949824,99.06013979290553
2023-06-29,USDC,3.9806171817408,89.50802360399003
2023-07-06,USDC,3.9969999949824,99.20967756818202
2023-07-13,USDC,3.9969999949824,95.95620877124979
2023-07-20,USDC,4.2522712753536,95.15656310808764
2023-07-27,USDC,4.5335839911408,95.65270546172282
2023-08-03,USDC,6.6878594160624,99.45213301674669
2023-08-10,USDC,5.5808407917216005,97.49971921827894
2023-08-17,USDC,4.7398092922512,96.01641851388504
2023-08-24,USDC,3.9040482278592,87.20865562616011
2023-08-31,USDC,3.9210323569344,87.71868955509582
2023-09-07,USDC,4.0095542022192,90.37700321219685
2023-09-14,USDC,4.0902287617152,92.79966261062759
2023-09-21,USDC,4.0669812172224,92.10153818392824
2023-09-28,USDC,3.930762036024,88.0108720818356
2023-10-05,USDC,3.9912974946288005,89.82875373087914
2023-10-12,USDC,4.0516370452944,91.64075225125639
2023-10-19,USDC,4.0824779981616,92.56690695884276
2023-10-26,USDC,6.7250013721056,94.75206758549959
2023-11-02,USDC,5.2835252967216,93.79108353678002
2023-11-09,USDC,5.864986345392,94.17872423410584
2023-11-16,USDC,6.0578353178208,94.30729021631369
2023-11-23,USDC,5.0091723364608,93.6081815626244
2023-11-30,USDC,5.2878250284912,93.79395002354826
2023-12-07,USDC,5.67494940024,94.05203293830981
2023-12-14,USDC,9.3810699531648,96.52277997349734
2023-12-21,USDC,7.4027926017359995,95.20392840577965
2023-12-28,USDC,7.3540911280464,95.1714607574097
2024-01-04,USDC,11.1215902734576,97.68312685394108
2024-01-11,USDC,15.374527097169599,95.4034172064333
2024-01-18,USDC,10.451762829907201,94.14116995769314
2024-01-25,USDC,6.376515166152,93.0962346597742
2024-02-01,USDC,10.3080306224448,94.10431554581787
2024-02-08,USDC,11.331463375224,94.36673420063701
2024-02-15,USDC,8.3377546196256,93.59911657092982
2024-02-22,USDC,13.3877484474624,94.8939867833642
2024-02-29,USDC,17.3026864818576,95.89781704834871
2024-03-07,USDC,12.874358851329601,94.76234842488303
2024-03-14,USDC,23.714723609193598,97.5419291326054
