date,symbol,supply_apy,borrow_apy,utilization
2024-05-24,USDC,7.137890076998739,8.8082780216401,90.075225
2024-05-31,USDC,7.077678865393665,8.771048512871682,89.66063600000001
2024-06-07,USDC,11.602550966927836,13.913660109821196,92.735698
2024-06-14,USDC,7.36943926286358,8.950005624763584,91.53294600000001
2024-06-21,USDC,7.145126382473496,8.8127417527577,90.055922
2024-06-28,USDC,6.603648424912194,8.472236258940521,86.406944
2024-07-05,USDC,5.4702530509765115,7.710983873230637,78.274647
2024-07-12,USDC,5.24550945014336,7.550920941631932,76.546116
2024-07-19,USDC,5.943791208608918,8.037812275770797,81.719145
2024-07-26,USDC,4.896363741354725,6.199809518540911,87.549023
2024-08-02,USDC,4.927933909323339,6.219764586412296,87.833819
2024-08-09,USDC,4.088792798207027,5.6655106651594815,79.562097
2024-08-16,USDC,3.842350135437177,5.492119505899275,76.959699
2024-08-23,USDC,4.3924990448025785,5.872152798744911,82.60731700000001
2024-08-30,USDC,4.190572825953345,5.7355914167060575,80.554576
2024-09-06,USDC,3.6258941349918876,5.335179920070708,74.600752
2024-09-13,USDC,3.7331228744596108,4.979690128875793,82.762241
2024-09-20,USDC,4.157344222086082,5.255017526581438,87.612359
2024-09-27,USDC,4.438035457110177,5.429521537236628,90.684024
2024-10-04,USDC,4.394754811847764,5.402981761439484,90.20186
2024-10-11,USDC,23.71598129270029,27.747811133953746,95.24787
2024-10-18,USDC,13.09630257591853,15.588857560120362,93.51483900000001
2024-10-25,USDC,24.327391596956755,28.435700871772628,95.322014
2024-11-01,USDC,39.70786816626747,45.338638428110045,97.70279
2024-11-08,USDC,34.13880434019589,39.3048009353701,96.824723
2024-11-15,USDC,32.11133789861512,37.08429946268494,96.478823
2024-11-22,USDC,47.62929997201401,53.76281015897917,98.82257800000001
2024-11-29,USDC,45.80660791449348,51.84039034475061,98.523826
2024-12-06,USDC,44.58577350408799,50.54749713230946,98.31872299999999
2024-12-13,USDC,10.775035736518543,12.875694574609437,92.998374
2024-12-20,USDC,16.160249986029186,19.197752267716304,93.496437
2024-12-27,USDC,10.154544695334124,12.381408880233005,91.00026799999999
2025-01-03,USDC,9.13159120898714,11.741215758117667,86.00686400000001
2025-01-10,USDC,8.290454122027777,11.187395670598049,81.70663
2025-01-17,USDC,8.366782606593615,11.01170826602936,83.902194
2025-01-24,USDC,7.116639607779655,10.155771977578794,76.972381
2025-01-31,USDC,6.051607116964712,9.167884098674682,72.24091700000001
2025-02-07,USDC,4.869505188166453,8.22386870653416,64.18501599999999
2025-02-14,USDC,4.132298225079821,6.8856106646360455,65.11329599999999
2025-02-21,USDC,4.159341799054185,6.908105150950431,65.29238699999999
2025-02-28,USDC,3.4620236133240128,6.302482484420303,59.162813
2025-03-07,USDC,3.281264154710621,5.972094697858879,59.049874
2025-03-14,USDC,2.8531979033257167,5.4120306209025415,56.387361999999996
