date,borrow_rate,supply_rate,tvl_usd,borrow_usd,symbol,utilization
2024-03-22,0.0538643106784064,0.0006964473757397428,322789217.37238014,5180050.011022347,WBTC,1.6047778959872978
2024-03-29,0.057483734686704244,0.0007933918606442857,331539642.77819514,5606410.24883411,WBTC,1.6910225883861738
2024-04-05,0.05660311209716429,0.0007696164274159429,316432484.6571199,5486511.0979832215,WBTC,1.7338646833078148
2024-04-12,0.05707393126685802,0.0007818749251324714,322636027.1314352,5471137.573573537,WBTC,1.6957615125060752
2024-04-19,0.0753791991619843,0.0016682324503550143,286543525.0433218,11565598.355019275,WBTC,4.036244878773897
2024-04-26,0.19818584638931339,0.009495796012102972,253327137.53160828,16093187.079283444,WBTC,6.352729216495985
2024-05-03,0.1990999097573058,0.009598337156137272,277013904.45870394,14718798.685707543,WBTC,5.313379021341421
2024-05-10,0.19521384060343264,0.009177836514936958,234430890.27253348,14221699.75712212,WBTC,6.066478585901771
2024-05-17,0.2043237153068947,0.010029111839584616,259998690.12126416,15701602.708681753,WBTC,6.0391083898763025
2024-05-24,0.20302313048415163,0.009893325757910314,268281036.19975278,16475136.44856463,WBTC,6.14099926030471
2024-05-31,0.19285601251635906,0.008945968795820571,308812986.5264221,19261959.67830906,WBTC,6.237418929485663
2024-06-07,0.20319882274279027,0.009933467885121573,363196067.9034011,20757951.83144744,WBTC,5.71535698370182
2024-06-14,0.18834860204082868,0.008527977038284743,357091825.47471076,21961680.372795325,WBTC,6.15014929104017
2024-06-21,0.20317714296641223,0.009909292482170972,353326483.3214142,21089770.2148005,WBTC,5.968918609368874
2024-06-28,0.20197765384265545,0.0098015070138522,350462453.55810416,22042693.273111474,WBTC,6.289601938615931
2024-07-05,0.21239513864987353,0.010830334110313986,335920141.98421746,20484839.774267107,WBTC,6.098127862552984
2024-07-12,0.21278950095810775,0.0108777555618146,333408369.64584935,21240918.763553753,WBTC,6.370841495705741
2024-07-19,0.21454604979820988,0.011050203312041273,365381695.59122306,24191256.042291816,WBTC,6.620817718618338
2024-07-26,0.22259212606907747,0.011897614479890328,356286976.75684714,24467837.40936964,WBTC,6.867452083736433
2024-08-02,0.2547156121248972,0.015676180507333944,342521547.08517915,30267745.095140375,WBTC,8.836741907980846
2024-08-09,0.24933165870755908,0.015096887217176544,296476363.5229959,19876462.33533559,WBTC,6.704231696296387
2024-08-16,0.23318887084173973,0.013070203967927001,274003747.2950582,20033667.669168986,WBTC,7.311457550102748
2024-08-23,0.24943206555016845,0.014942235620958658,273711063.31857944,21328953.071377,WBTC,7.792506745170062
2024-08-30,0.26543952457316583,0.01691488538055268,240609388.2084538,19638954.072087955,WBTC,8.162172813919295
2024-09-06,0.29091252384260174,0.02042062368965322,184247017.74182394,17780079.309795663,WBTC,9.650131398441406
2024-09-13,0.3269610624138602,0.025659010909201255,204619812.3820657,20384473.3744485,WBTC,9.962121036640701
2024-09-20,0.3731086959849858,0.033628116170903374,173187950.10975444,21109619.37721085,WBTC,12.188849953956408
2024-09-27,0.40958137402233047,0.04026235550692674,176292639.59826788,21776117.28559353,WBTC,12.352255508350494
2024-10-04,0.40924425265768766,0.040205035545571054,167379647.0165725,20101051.050059184,WBTC,12.009256446853989
2024-10-11,0.4043093357405493,0.03923719704481856,158237927.40470046,19554972.38986829,WBTC,12.357955333840785
2024-10-18,0.41813817933757047,0.0419652703231306,168514053.962409,21458314.629694436,WBTC,12.733842741971667
2024-10-25,0.4261635026311648,0.04358776930944223,169570023.91685238,21716582.17913011,WBTC,12.806852105994102
